Name,Description,Ocupation Wikidata Ids
EDWARD ELGAR,(1857–1934) English composer,"composer|""conductor""|"
GREG YAITANES,\Television and film director,film director|
PERVEZ MUSHARRAF,10th President of Pakistan,"politician|""financier""|"
GIORGIO NAPOLITANO,11th President of Italy,politician|
ROBERT ZOELLICK,11th President of the World Bank Group,"banker|""politician""|"
BENAZIR BHUTTO,11th Prime Minister of Pakistan,"politician|""financier""|"
ALAN GREENSPAN,13th Chairman of the Federal Reserve in the United States,"economist|""banker""|""politician""|""entrepreneur""|"
ALPHONSO JACKSON,13th United States Secretary of Housing and Urban Development,
CHARLES W. STEGER,15th president of Virginia Polytechnic Institute and State University,
PETER PACE,16th Chairman of the Joint Chiefs of Staff,officer|
HENRY DAVID THOREAU,1817-1862 American author| abolitionist| naturalist,"writer|""poet""|""author""|""philosopher""|""essayist""|""autobiographer""|"
DUKE ELLINGTON,1899- 1974| American jazz musician| composer and band leader,"pianist|""composer""|""musician""|""autobiographer""|"
JERZY NOWAK,1923-2013 Polish actor,"actor|""teacher""|"
JIM HENSON,1936-1990| American puppeteer| Screenwriter| Film Director and Producer,"television director|""film director""|""film producer""|""voice actor""|""puppeteer""|""actor""|"
JOHN GUARE,1938; American playwright,"author|""playwright""|""writer""|"
JOHN SAYLES,1950; American independent film director| screenwriter| editor| actor and author,"actor|""film director""|""screenwriter""|""writer""|"
GEORGES POMPIDOU,19th President of the French Republic,politician|
MIGUEL DE UNAMUNO,19th-20th century Spanish writer and philosopher,"poet|""philosopher""|""writer""|""author""|""essayist""|""novelist""|"
ZHOU ENLAI,1st Premier of the People's Republic of China,"politician|""diplomat""|"
BORIS YELTSIN,1st President of Russia and Chairman of the Supreme Soviet of the RSFSR,"engineer|""politician""|"
T. S. ELIOT,20th century English author,"playwright|""poet""|""essayist""|""literary critic""|""social critic""|""short story writer""|""university professor""|""writer""|"
KURT VONNEGUT,20th-century American writer,"playwright|""writer""|""screenwriter""|""author""|""novelist""|""essayist""|"
GROVER CLEVELAND,22nd and 24th president of the United States,"politician|""lawyer""|"
CHRISTINE GREGOIRE,22nd Governor of Washington| United States,lawyer|
JACQUES CHIRAC,22nd President of the French Republic,"politician|""statesman""|"
NICOLAS SARKOZY,23rd President of the French Republic,"politician|""economist""|"
PIUS XII,260th Pope of the Catholic Church,"Catholic priest|""diplomat""|"
PAUL VI,262nd Pope of the Catholic Church,"Catholic priest|""diplomat""|"
JOHN PAUL II,264th Pope of the Catholic Church| saint,"Catholic priest|""poet""|""politician""|""Esperantist""|""philosopher""|""writer""|""human rights activist""|"
BENEDICT XVI,265th Pope of the Catholic Church,"Catholic priest|""theologian""|""non-fiction writer""|""pianist""|"
MIKE JOHANNS,28th United States Secretary of Agriculture,"politician|""lawyer""|"
ROBERT GIBBS,28th White House Press Secretary,"politician|""civil servant""|"
MICHAEL CHERTOFF,2nd Secretary of Homeland Security of the United States,"lawyer|""judge""|"
THOMAS VON ESSEN,30th FDNY Commissioner of New York City,
MICHELLE BACHELET,34th & 36th President of Chile,"politician|""physician""|""epidemiologist""|"
CORY BOOKER,35th Class 2 senator for New Jersey in U.S. Congress,"politician|""lawyer""|"
